fips_state_code,fips_county_code,county_name,state_name,cbsa_code,cbsa_title,csa_code,csa_title,metro_type,metro_code,metro_name,metro_pop,metro_percentile,metro_type_def
02,013,Aleutians East Borough, Alaska,,,,,No Metro Area,,,,000,4
02,016,Aleutians West Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,020,Anchorage Municipality, Alaska,11260,"Anchorage, AK",,,Metropolitan Statistical Area,11260,"Anchorage, AK",398900.0,6,1
02,037,,,,,,,No Metro Area,,,,000,4
02,050,Bethel Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,060,Bristol Bay Borough, Alaska,,,,,No Metro Area,,,,000,4
02,070,Dillingham Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,100,Haines Borough, Alaska,,,,,No Metro Area,,,,000,4
02,105,Hoonah-Angoon Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,110,Juneau City and Borough, Alaska,27940,"Juneau, AK",,,Micropolitan Statistical Area,27940,"Juneau, AK",32227.0,111,2
02,122,Kenai Peninsula Borough, Alaska,,,,,No Metro Area,,,,000,4
02,130,Ketchikan Gateway Borough, Alaska,28540,"Ketchikan, AK",,,Micropolitan Statistical Area,28540,"Ketchikan, AK",13800.0,111,2
02,150,Kodiak Island Borough, Alaska,,,,,No Metro Area,,,,000,4
02,158,Kusilvak Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,164,Lake and Peninsula Borough, Alaska,,,,,No Metro Area,,,,000,4
02,170,Matanuska-Susitna Borough, Alaska,11260,"Anchorage, AK",,,Metropolitan Statistical Area,11260,"Anchorage, AK",398900.0,6,1
02,180,Nome Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,185,North Slope Borough, Alaska,,,,,No Metro Area,,,,000,4
02,188,Northwest Arctic Borough, Alaska,,,,,No Metro Area,,,,000,4
02,195,Petersburg Borough, Alaska,,,,,No Metro Area,,,,000,4
02,198,Prince of Wales-Hyder Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,220,Sitka City and Borough, Alaska,,,,,No Metro Area,,,,000,4
02,230,Skagway Municipality, Alaska,,,,,No Metro Area,,,,000,4
02,261,Valdez-Cordova Census Area, Alaska,,,,,No Metro Area,,,,000,4
02,275,Wrangell City and Borough, Alaska,,,,,No Metro Area,,,,000,4
02,282,Yakutat City and Borough, Alaska,,,,,No Metro Area,,,,000,4
02,290,Yukon-Koyukuk Census Area, Alaska,,,,,No Metro Area,,,,000,4
04,011,Greenlee County, Arizona,,,,,No Metro Area,,,,000,4
04,012,La Paz County, Arizona,,,,,No Metro Area,,,,000,4
04,023,Santa Cruz County, Arizona,35700,"Nogales, AZ",536,"Tucson-Nogales, AZ",Micropolitan Statistical Area,35700,"Nogales, AZ",46480.0,111,2
05,021,Clay County, Arkansas,,,,,No Metro Area,,,,000,4
05,105,Perry County, Arkansas,30780,"Little Rock-North Little Rock-Conway, AR",340,"Little Rock-North Little Rock, AR",Metropolitan Statistical Area,30780,"Little Rock-North Little Rock-Conway, AR",737015.0,7,1
06,003,Alpine County, California,,,,,No Metro Area,,,,000,4
06,091,Sierra County, California,,,,,No Metro Area,,,,000,4
06,105,Trinity County, California,,,,,No Metro Area,,,,000,4
08,003,Alamosa County, Colorado,,,,,No Metro Area,,,,000,4
08,009,Baca County, Colorado,,,,,No Metro Area,,,,000,4
08,015,Chaffee County, Colorado,,,,,No Metro Area,,,,000,4
08,017,Cheyenne County, Colorado,,,,,No Metro Area,,,,000,4
08,019,Clear Creek County, Colorado,19740,"Denver-Aurora-Lakewood, CO",216,"Denver-Aurora, CO",Metropolitan Statistical Area,19740,"Denver-Aurora-Lakewood, CO",2892066.0,9,1
08,025,Crowley County, Colorado,,,,,No Metro Area,,,,000,4
08,029,Delta County, Colorado,,,,,No Metro Area,,,,000,4
