"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"310M500US10100","Aberdeen, SD Micro Area","42824","*****","41585","12","37660","96","850","75","1323","213","1171","11","0","21","6","10","575","231","0","21","575","231","1239","12","927","119","80","89","77","86","48","61","0","21","74","45","33","41","4","6","29","41"
"310M500US10140","Aberdeen, WA Micro Area","72779","*****","65533","*****","57795","65","813","180","2795","317","1096","171","200","65","54","50","2780","463","53","45","2727","458","7246","*****","6007","369","46","72","280","139","0","29","0","29","529","244","384","232","86","81","298","221"
"310M500US10180","Abilene, TX Metro Area","170669","*****","130437","*****","109556","342","13492","470","663","143","3032","246","40","63","340","169","3314","484","154","130","3160","468","40232","*****","22483","1434","469","182","499","281","116","111","4","9","15019","1472","1642","396","1198","336","444","160"
"310M500US10220","Ada, OK Micro Area","38355","*****","36297","*****","25083","37","930","125","4788","362","298","80","36","31","54","42","5108","398","0","21","5108","398","2058","*****","1281","173","42","35","98","56","0","21","0","21","366","142","271","93","80","45","191","86"
"310M500US10300","Adrian, MI Micro Area","98381","*****","90539","*****","85263","54","2236","220","306","85","305","72","20","25","151","133","2258","254","80","50","2178","244","7842","*****","6313","319","235","170","169","118","0","24","0","24","616","252","509","211","281","161","228","157"
"310M500US10380","Aguadilla-Isabela, PR Metro Area","301107","*****","9565","1020","7636","882","272","124","63","83","102","74","12","17","580","215","900","310","88","84","812","305","291542","1020","215901","3140","7892","1041","111","70","218","141","0","33","58736","2664","8684","1306","626","227","8058","1301"
"310M500US10420","Akron, OH Metro Area","703845","*****","689248","*****","562271","255","84308","1267","1156","265","21324","781","93","61","997","368","19099","1443","418","184","18681","1434","14597","*****","10278","631","1167","425","66","73","13","21","40","41","1842","493","1191","332","558","250","633","280"
"310M500US10460","Alamogordo, NM Micro Area","66137","*****","40822","*****","32314","36","2133","169","4015","182","826","195","97","56","60","46","1377","319","50","60","1327","324","25315","*****","19995","956","210","86","488","261","32","49","41","69","3649","816","900","406","249","139","651","354"
"310M500US10500","Albany, GA Metro Area","148436","*****","144296","*****","60666","131","79171","530","272","78","2018","238","47","52","188","137","1934","537","28","23","1906","536","4140","*****","1864","445","328","136","47","58","5","10","30","39","1282","307","584","292","453","279","131","95"
"310M500US10540","Albany-Lebanon, OR Metro Area","125048","*****","113655","*****","106183","154","616","152","884","241","1310","196","123","63","177","144","4362","386","69","58","4293","372","11393","*****","5853","783","11","16","308","258","34","42","0","29","3820","771","1367","472","700","324","667","401"
"310M500US10580","Albany-Schenectady-Troy, NY Metro Area","880736","*****","835302","*****","701971","777","63372","1439","1203","220","38167","652","240","113","4811","946","25538","1572","1698","473","23840","1532","45434","*****","25990","1170","5009","743","434","217","513","356","36","29","8393","967","5059","704","1464","400","3595","605"
"310M500US10620","Albemarle, NC Micro Area","61588","*****","58998","*****","49777","80","6894","242","73","49","1104","114","0","29","51","80","1099","298","80","112","1019","264","2590","*****","1725","330","106","98","209","228","0","29","8","13","508","278","34","33","22","21","12","23"
"310M500US10660","Albert Lea, MN Micro Area","30463","*****","27496","*****","25909","4","303","69","59","45","752","78","0","18","0","18","473","113","4","4","469","113","2967","*****","1985","252","27","25","91","94","25","32","0","18","729","255","110","87","93","85","17","12"
"310M500US10700","Albertville, AL Micro Area","95643","*****","82286","*****","77236","98","2549","187","349","141","573","71","51","48","98","89","1430","249","33","42","1397","242","13357","*****","11733","509","0","28","29","42","0","28","0","28","1303","491","292","181","153","109","139","149"
"310M500US10740","Albuquerque, NM Metro Area","912108","*****","464984","*****","357512","459","20630","704","48000","806","19162","691","612","109","1910","416","17158","1396","1290","434","15868","1322","447124","*****","325923","4499","4004","666","6934","1037","1429","473","244","136","88872","4386","19718","1536","11604","1026","8114","1007"
