"GEO_ID","NAME","B25077_001E","B25077_001M"
"id","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)"
"0500000US01001","Autauga County, Alabama","154500","6544"
"0500000US01003","Baldwin County, Alabama","197900","4048"
"0500000US01005","Barbour County, Alabama","90700","6502"
"0500000US01007","Bibb County, Alabama","92800","12675"
"0500000US01009","Blount County, Alabama","127800","6694"
"0500000US01011","Bullock County, Alabama","70300","12983"
"0500000US01013","Butler County, Alabama","95900","8498"
"0500000US01015","Calhoun County, Alabama","118000","2973"
"0500000US01017","Chambers County, Alabama","97100","7139"
"0500000US01019","Cherokee County, Alabama","123400","9523"
"0500000US01021","Chilton County, Alabama","107300","7217"
"0500000US01023","Choctaw County, Alabama","74100","5109"
"0500000US01025","Clarke County, Alabama","112500","11728"
"0500000US01027","Clay County, Alabama","107800","10339"
"0500000US01029","Cleburne County, Alabama","116500","8285"
"0500000US01031","Coffee County, Alabama","147400","6917"
"0500000US01033","Colbert County, Alabama","120800","6347"
"0500000US01035","Conecuh County, Alabama","81000","6746"
"0500000US01037","Coosa County, Alabama","84000","10342"
"0500000US01039","Covington County, Alabama","97600","4723"
"0500000US01041","Crenshaw County, Alabama","81000","4430"
"0500000US01043","Cullman County, Alabama","128600","5396"
"0500000US01045","Dale County, Alabama","112000","4719"
"0500000US01047","Dallas County, Alabama","83300","4393"
"0500000US01049","DeKalb County, Alabama","106100","4355"
"0500000US01051","Elmore County, Alabama","166600","4975"
"0500000US01053","Escambia County, Alabama","99400","5332"
"0500000US01055","Etowah County, Alabama","113700","5290"
"0500000US01057","Fayette County, Alabama","88500","8036"
"0500000US01059","Franklin County, Alabama","95000","7738"
"0500000US01061","Geneva County, Alabama","100900","9322"
"0500000US01063","Greene County, Alabama","80400","14233"
"0500000US01065","Hale County, Alabama","89300","12650"
"0500000US01067","Henry County, Alabama","118800","8443"
"0500000US01069","Houston County, Alabama","137600","2586"
"0500000US01071","Jackson County, Alabama","104900","4788"
"0500000US01073","Jefferson County, Alabama","159100","1702"
"0500000US01075","Lamar County, Alabama","80900","6414"
"0500000US01077","Lauderdale County, Alabama","145000","4424"
"0500000US01079","Lawrence County, Alabama","110500","8698"
"0500000US01081","Lee County, Alabama","169300","4213"
"0500000US01083","Limestone County, Alabama","158800","4178"
"0500000US01085","Lowndes County, Alabama","70000","15633"
"0500000US01087","Macon County, Alabama","80800","3383"
"0500000US01089","Madison County, Alabama","186100","2831"
"0500000US01091","Marengo County, Alabama","84400","8855"
"0500000US01093","Marion County, Alabama","92800","8911"
"0500000US01095","Marshall County, Alabama","128800","5006"
"0500000US01097","Mobile County, Alabama","130200","2224"
"0500000US01099","Monroe County, Alabama","102200","15613"
"0500000US01101","Montgomery County, Alabama","129800","3093"
"0500000US01103","Morgan County, Alabama","137000","4756"
"0500000US01105","Perry County, Alabama","65000","14294"
"0500000US01107","Pickens County, Alabama","96000","5870"
"0500000US01109","Pike County, Alabama","120000","8728"
"0500000US01111","Randolph County, Alabama","96100","11016"
"0500000US01113","Russell County, Alabama","122000","6494"
"0500000US01115","St. Clair County, Alabama","154900","4469"
"0500000US01117","Shelby County, Alabama","211900","3379"
"0500000US01119","Sumter County, Alabama","74400","10634"
"0500000US01121","Talladega County, Alabama","105300","5542"
"0500000US01123","Tallapoosa County, Alabama","109300","7855"
"0500000US01125","Tuscaloosa County, Alabama","170400","2427"
"0500000US01127","Walker County, Alabama","104300","6121"
"0500000US01129","Washington County, Alabama","89100","13554"
"0500000US01131","Wilcox County, Alabama","79400","13245"
"0500000US01133","Winston County, Alabama","86100","6184"
"0500000US02013","Aleutians East Borough, Alaska","119900","6058"
"0500000US02016","Aleutians West Census Area, Alaska","279200","54211"
"0500000US02020","Anchorage Municipality, Alaska","314800","3853"
"0500000US02050","Bethel Census Area, Alaska","83600","6252"
"0500000US02060","Bristol Bay Borough, Alaska","188800","30065"
"0500000US02068","Denali Borough, Alaska","223000","50050"
"0500000US02070","Dillingham Census Area, Alaska","183500","30364"
"0500000US02090","Fairbanks North Star Borough, Alaska","240000","6430"
"0500000US02100","Haines Borough, Alaska","254000","46716"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","223600","20395"
"0500000US02110","Juneau City and Borough, Alaska","345900","9091"
"0500000US02122","Kenai Peninsula Borough, Alaska","242200","5644"
"0500000US02130","Ketchikan Gateway Borough, Alaska","289900","9972"
"0500000US02150","Kodiak Island Borough, Alaska","282100","15132"
"0500000US02158","Kusilvak Census Area, Alaska","71500","8660"
"0500000US02164","Lake and Peninsula Borough, Alaska","114900","10324"
"0500000US02170","Matanuska-Susitna Borough, Alaska","249000","3429"
"0500000US02180","Nome Census Area, Alaska","154600","8425"
"0500000US02185","North Slope Borough, Alaska","152500","21709"
"0500000US02188","Northwest Arctic Borough, Alaska","141400","20595"
"0500000US02195","Petersburg Borough, Alaska","227400","20839"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","174900","12285"
"0500000US02220","Sitka City and Borough, Alaska","358600","20650"
"0500000US02230","Skagway Municipality, Alaska","338500","26654"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","170900","12954"
"0500000US02261","Valdez-Cordova Census Area, Alaska","222200","27920"
"0500000US02275","Wrangell City and Borough, Alaska","216200","22088"
"0500000US02282","Yakutat City and Borough, Alaska","202300","47923"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","76500","6487"
"0500000US04001","Apache County, Arizona","59900","2526"
"0500000US04003","Cochise County, Arizona","146800","4553"
"0500000US04005","Coconino County, Arizona","280900","7748"
"0500000US04007","Gila County, Arizona","165800","9480"
"0500000US04009","Graham County, Arizona","138700","10001"
"0500000US04011","Greenlee County, Arizona","83800","8944"
"0500000US04012","La Paz County, Arizona","79200","16342"
"0500000US04013","Maricopa County, Arizona","260200","995"
"0500000US04015","Mohave County, Arizona","160500","3370"
"0500000US04017","Navajo County, Arizona","126100","5786"
"0500000US04019","Pima County, Arizona","184100","1586"
"0500000US04021","Pinal County, Arizona","183100","2556"
"0500000US04023","Santa Cruz County, Arizona","151200","8849"
"0500000US04025","Yavapai County, Arizona","252000","5214"
"0500000US04027","Yuma County, Arizona","127900","3278"
"0500000US05001","Arkansas County, Arkansas","88600","4535"
"0500000US05003","Ashley County, Arkansas","76400","4085"
"0500000US05005","Baxter County, Arkansas","133400","6265"
"0500000US05007","Benton County, Arkansas","183400","3558"
"0500000US05009","Boone County, Arkansas","124300","6530"
"0500000US05011","Bradley County, Arkansas","89800","11931"
"0500000US05013","Calhoun County, Arkansas","70000","6026"
"0500000US05015","Carroll County, Arkansas","136900","7439"
"0500000US05017","Chicot County, Arkansas","69700","5675"
