lei,respondent_name,variable_name,total_count,p_value,odds_ratio
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",latino,2154.0,2.4235030080826957e-07,2.037768748306487
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",black,1276.0,1.87591001861176e-10,2.613202058212276
549300H3IZO24NSOO931,"EAGLE HOME MORTGAGE, LLC",latino,2837.0,1.3888505803065097e-14,2.12422926147584
549300H3IZO24NSOO931,"EAGLE HOME MORTGAGE, LLC",black,1281.0,3.007772386387212e-11,2.3010732620792957
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,black,2014.0,1.4385270822599377e-10,2.0918415685901373
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,latino,1043.0,1.885855825441276e-05,2.2439394563056645
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",latino,2228.0,3.507122479006806e-09,2.1191906808541963
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",black,1289.0,1.3834971046696594e-06,2.131012539461814
5493003GQDUH26DNNH17,NAVY FEDERAL CREDIT UNION,black,1467.0,6.205844824305391e-15,2.0565850481758536
5493004WMLN60ZJ2ON46,PULTE MORTGAGE LLC,latino,1296.0,9.61052293329742e-05,2.1565858435304754
