metro_code,metro_name,metro_pop,metro_apps,metro_type,variable_name,total_count,loan,denied,is_reliable,reliable_note,odds_ratio
35084,"Newark, NJ-PA",2164575.0,15854,Metropolitan Division,Black,1011.0,838.0,173.0,True,Statistically significant disparity,1.9
35084,"Newark, NJ-PA",2164575.0,15854,Metropolitan Division,Latino,1840.0,1608.0,232.0,True,Doesn't meet level of disparity,1.4
35084,"Newark, NJ-PA",2164575.0,15854,Metropolitan Division,Native American,23.0,22.0,1.0,False,Not statistically significant,0.6
35084,"Newark, NJ-PA",2164575.0,15854,Metropolitan Division,AAPI,1627.0,1483.0,144.0,True,Statistically significant disparity,1.7
35614,"New York-Jersey City-White Plains, NY-NJ",11915488.0,49623,Metropolitan Division,Black,2677.0,2239.0,438.0,True,Statistically significant disparity,1.6
35614,"New York-Jersey City-White Plains, NY-NJ",11915488.0,49623,Metropolitan Division,Latino,5546.0,4818.0,728.0,True,Doesn't meet level of disparity,1.3
35614,"New York-Jersey City-White Plains, NY-NJ",11915488.0,49623,Metropolitan Division,Native American,69.0,51.0,18.0,False,Not enough applications,3.0
35614,"New York-Jersey City-White Plains, NY-NJ",11915488.0,49623,Metropolitan Division,AAPI,10828.0,9655.0,1173.0,True,Doesn't meet level of disparity,1.2
35154,"New Brunswick-Lakewood, NJ",2373832.0,21017,Metropolitan Division,Black,636.0,548.0,88.0,True,Statistically significant disparity,1.9
35154,"New Brunswick-Lakewood, NJ",2373832.0,21017,Metropolitan Division,Latino,1632.0,1453.0,179.0,True,Statistically significant disparity,1.5
35154,"New Brunswick-Lakewood, NJ",2373832.0,21017,Metropolitan Division,Native American,33.0,28.0,5.0,False,Not statistically significant,1.8
35154,"New Brunswick-Lakewood, NJ",2373832.0,21017,Metropolitan Division,AAPI,3504.0,3199.0,305.0,True,Doesn't meet level of disparity,1.2
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839.0,4450,Metropolitan Statistical Area,Black,329.0,299.0,30.0,False,Not statistically significant,1.1
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839.0,4450,Metropolitan Statistical Area,Latino,608.0,529.0,79.0,True,Statistically significant disparity,1.9
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839.0,4450,Metropolitan Statistical Area,Native American,9.0,6.0,3.0,False,Not statistically significant,4.6
39100,"Poughkeepsie-Newburgh-Middletown, NY",673839.0,4450,Metropolitan Statistical Area,AAPI,188.0,161.0,27.0,True,Statistically significant disparity,2.5
45940,"Trenton-Princeton, NJ",367922.0,2571,Metropolitan Statistical Area,Black,154.0,138.0,16.0,False,Not enough variance in variables,1.4
45940,"Trenton-Princeton, NJ",367922.0,2571,Metropolitan Statistical Area,Latino,258.0,219.0,39.0,False,Not enough variance in variables,1.7
45940,"Trenton-Princeton, NJ",367922.0,2571,Metropolitan Statistical Area,Native American,4.0,4.0,0.0,False,Not enough variance in variables,0.0
45940,"Trenton-Princeton, NJ",367922.0,2571,Metropolitan Statistical Area,AAPI,608.0,560.0,48.0,False,Not enough variance in variables,1.2
20700,"East Stroudsburg, PA",168032.0,997,Metropolitan Statistical Area,Black,87.0,74.0,13.0,False,No results,
20700,"East Stroudsburg, PA",168032.0,997,Metropolitan Statistical Area,Latino,120.0,104.0,16.0,False,No results,
20700,"East Stroudsburg, PA",168032.0,997,Metropolitan Statistical Area,Native American,4.0,4.0,0.0,False,No results,
20700,"East Stroudsburg, PA",168032.0,997,Metropolitan Statistical Area,AAPI,31.0,27.0,4.0,False,No results,
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027.0,13394,Metropolitan Division,Black,1071.0,885.0,186.0,True,Statistically significant disparity,1.5
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027.0,13394,Metropolitan Division,Latino,2300.0,2005.0,295.0,False,Not statistically significant,1.1
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027.0,13394,Metropolitan Division,Native American,39.0,35.0,4.0,False,Not statistically significant,1.0
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",1465027.0,13394,Metropolitan Division,AAPI,546.0,468.0,78.0,False,Not statistically significant,1.3
33124,"Miami-Miami Beach-Kendall, FL",2699428.0,15640,Metropolitan Division,Black,618.0,479.0,139.0,False,Not enough variance in variables,1.2
33124,"Miami-Miami Beach-Kendall, FL",2699428.0,15640,Metropolitan Division,Latino,10728.0,9156.0,1572.0,False,Not enough variance in variables,1.0
33124,"Miami-Miami Beach-Kendall, FL",2699428.0,15640,Metropolitan Division,Native American,10.0,6.0,4.0,False,Not enough variance in variables,1.1
33124,"Miami-Miami Beach-Kendall, FL",2699428.0,15640,Metropolitan Division,AAPI,315.0,259.0,56.0,False,Not enough variance in variables,1.2
37964,"Philadelphia, PA",2143629.0,12613,Metropolitan Division,Black,1162.0,964.0,198.0,False,Not enough variance in variables,2.0
37964,"Philadelphia, PA",2143629.0,12613,Metropolitan Division,Latino,703.0,626.0,77.0,False,Not enough variance in variables,1.4
